file_number,text,title,type
000001,"File: 000001 | Title: Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program. | Name: Reserved Funds, Department of Children, Youth and Their Families | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program.",Hearing
000014,File: 000014 | Title: Resolution authorizing adoption of the County Description of Proposed Expenditure of California Healthcare for Indigents Program (CHIP) funds for fiscal year 1999-2000 and that the President or duly authorized representative of the Board of Supervisors of the City and County of San Francisco can certify the County Description of Proposed Expenditure of CHIP funds for fiscal year 1999-2000. | Name: Proposed expenditure of California Healthcare for Indigents Program (CHIP) funds for fiscal year 1999-2000 | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors,Resolution authorizing adoption of the County Description of Proposed Expenditure of California Healthcare for Indigents Program (CHIP) funds for fiscal year 1999-2000 and that the President or duly authorized representative of the Board of Supervisors of the City and County of San Francisco can certify the County Description of Proposed Expenditure of CHIP funds for fiscal year 1999-2000.,Resolution
000015,"File: 000015 | Title: Resolution authorizing the Department of Public Health, Population Health and Prevention Division, HIV Research Section, to accept retroactively and expend a grant in the amount of $211,587 from the Public Health Foundation Enterprises, Inc. on the conduct and evaluation of ongoing Phase III HIV vaccine efficacy trials and to enter into an agreement which includes an indemnification clause and which does not include patent infringement indemnification and false claims clauses; providing for ratification of action previously taken. | Name: Grant funds for HIV/AIDS study designed to determine whether immunization with HIV vaccine protects at-risk persons from acquiring HIV infection | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing the Department of Public Health, Population Health and Prevention Division, HIV Research Section, to accept retroactively and expend a grant in the amount of $211,587 from the Public Health Foundation Enterprises, Inc. on the conduct and evaluation of ongoing Phase III HIV vaccine efficacy trials and to enter into an agreement which includes an indemnification clause and which does not include patent infringement indemnification and false claims clauses; providing for ratification of action previously taken.",Resolution
000016,"File: 000016 | Title: Resolution commending Police Chief Fred Lau, Sergeant Dan Linehan (officer in charge of preparing for the event) and the Police Department for their diligent efforts in providing a safe New Year's Eve for San Franciscans. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors","Resolution commending Police Chief Fred Lau, Sergeant Dan Linehan (officer in charge of preparing for the event) and the Police Department for their diligent efforts in providing a safe New Year's Eve for San Franciscans.",Resolution
000017,"File: 000017 | Title: Ordinance amending Article 3, Chapter XI, Part II of the San Francisco Municipal Code (Traffic Code) by adding Section 66, regarding tour bus loading zones, and amending Section 71b, regarding towing of vehicles obstructing the normal flow of traffic. | Name: Tour Bus Loading Zones | Type: Ordinance | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Ordinance amending Article 3, Chapter XI, Part II of the San Francisco Municipal Code (Traffic Code) by adding Section 66, regarding tour bus loading zones, and amending Section 71b, regarding towing of vehicles obstructing the normal flow of traffic.",Ordinance
000018,"File: 000018 | Title: Resolution concurring with the action of the Airport Commission to enter into a professional services contract with the University of California to perform herring and oyster habitat studies notwithstanding deletion of indemnification requirement for patent rights, copyright or trademark infringement. | Name: Authorizing the Airport Commission to enter into a contract with the Regents of the University of California to perform studies on the habitats of herring and oysters during the Runway Reconfiguration Program | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution concurring with the action of the Airport Commission to enter into a professional services contract with the University of California to perform herring and oyster habitat studies notwithstanding deletion of indemnification requirement for patent rights, copyright or trademark infringement.",Resolution
000019,"File: 000019 | Title: Resolution determining that the issuance of a Type 20 off-sale beer and wine alcoholic beverage control license to Lee Sanders for 7-ELEVEN INC. located at 2650 Mason Street, will serve the convenience of the people of the City and County of San Francisco; with conditions. | Name: Liquor License, 2650 Mason Street | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution determining that the issuance of a Type 20 off-sale beer and wine alcoholic beverage control license to Lee Sanders for 7-ELEVEN INC. located at 2650 Mason Street, will serve the convenience of the people of the City and County of San Francisco; with conditions.",Resolution
000020,"File: 000020 | Title: Written statements received during Public Comment at a Board meeting, for calendar year 2000, pursuant to Administrative Code Section 67.16. | Name: Public Comment Communications, 2000 | Type: Communication | Status: Filed | Introduced: 2000-01-04 | Body: Board of Supervisors","Written statements received during Public Comment at a Board meeting, for calendar year 2000, pursuant to Administrative Code Section 67.16.",Communication
000021,File: 000021 | Title: Ordinance amending Administrative Code Section 4.1-2 to restrict filming in the City Hall Rotunda. | Name: City Hall Filming Restrictions | Type: Ordinance | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Ordinance amending Administrative Code Section 4.1-2 to restrict filming in the City Hall Rotunda.,Ordinance
000022,File: 000022 | Title: Resolution urging the City's Solid Waste Management Program to study the San Jose Collection Program and to develop a used computer and electronic equipment collection pilot project in the City and County of San Francisco. | Name: Used Computer and Electronic Equipment Collection Pilot Project | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors,Resolution urging the City's Solid Waste Management Program to study the San Jose Collection Program and to develop a used computer and electronic equipment collection pilot project in the City and County of San Francisco.,Resolution
000023,File: 000023 | Title: Resolution urging the Planning Department to review and update the Chinatown Area Plan of the Master Plan of the City and County of San Francisco. | Name: Chinatown Area Plan | Type: Resolution | Status: Killed | Introduced: 2000-01-04 | Body: Board of Supervisors,Resolution urging the Planning Department to review and update the Chinatown Area Plan of the Master Plan of the City and County of San Francisco.,Resolution
000024,"File: 000024 | Title: Resolution urging the California Department of Transportation to complete its review of the reevaluation of the environmental assessment of the Octavia Boulevard/Central Freeway Replacement Project, to forward its review to the Federal Highway Administration with a favorable recommendation, to transfer the emergency relief funds designated for the project to the City and County of San Francisco, and to develop a work plan with the City and County of San Francisco as quickly and expeditiously as possible. | Name: Octavia Boulevard/Central Freeway Replacement Project | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors","Resolution urging the California Department of Transportation to complete its review of the reevaluation of the environmental assessment of the Octavia Boulevard/Central Freeway Replacement Project, to forward its review to the Federal Highway Administration with a favorable recommendation, to transfer the emergency relief funds designated for the project to the City and County of San Francisco, and to develop a work plan with the City and County of San Francisco as quickly and expeditiously as possible.",Resolution
000025,File: 000025 | Title: Resolution urging Governor Gray Davis and the California State Legislature to approve legislation requiring report of HIV cases using a unique code system. | Name: Code System Reporting of HIV Cases | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors,Resolution urging Governor Gray Davis and the California State Legislature to approve legislation requiring report of HIV cases using a unique code system.,Resolution
000026,File: 000026 | Title: Resolution urging the Department of Elections to review and update its local ballot argument form and fee schedule and requesting the department to report back to the Board of Supervisors within ninety days. | Name: Ballot Argument Form and Fee Schedule Review and Update | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors,Resolution urging the Department of Elections to review and update its local ballot argument form and fee schedule and requesting the department to report back to the Board of Supervisors within ninety days.,Resolution
000027,"File: 000027 | Title: Resolution commemorating the Year of the Dragon, extending its heartfelt wishes for a prosperous New Year, inviting all of San Francisco to join in the New Year Festivities and declaring February 5, 2000 to be ""Celebrating the Year of the Dragon Day"" in San Francisco. | Name: Proclamation | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors","Resolution commemorating the Year of the Dragon, extending its heartfelt wishes for a prosperous New Year, inviting all of San Francisco to join in the New Year Festivities and declaring February 5, 2000 to be ""Celebrating the Year of the Dragon Day"" in San Francisco.",Resolution
000028,File: 000028 | Title: Resolution commending the Golden Gate National Recreation Area for their extension of the lease for the Giant Camera Obscura and urging the GGNRA to continue to pursue designation in the National Register of Historic Places to preserve the Giant Camera Obscura in its present structure and location as part of the Sutro Historic District. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors,Resolution commending the Golden Gate National Recreation Area for their extension of the lease for the Giant Camera Obscura and urging the GGNRA to continue to pursue designation in the National Register of Historic Places to preserve the Giant Camera Obscura in its present structure and location as part of the Sutro Historic District.,Resolution
000029,"File: 000029 | Title: Resolution urging the California Legislature to pass Assembly Bill 1028 which would amend the Lanterman-Petris-Short Act (LPS Act) relating to mental health services. | Name: State Legislation, AB 1028, Mental Health Services | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors",Resolution urging the California Legislature to pass Assembly Bill 1028 which would amend the Lanterman-Petris-Short Act (LPS Act) relating to mental health services.,Resolution
000030,File: 000030 | Title: Resolution commending Soka Gakkai International-USA on its 25th Anniversary. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors,Resolution commending Soka Gakkai International-USA on its 25th Anniversary.,Resolution
000031,File: 000031 | Title: Hearing to consider a proposal for a Beverages & More on the corner of Geary and Stanyan. | Name: Beverage & More Store | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to consider a proposal for a Beverages & More on the corner of Geary and Stanyan.,Hearing
000032,File: 000032 | Title: Hearing to consider the potential impacts of the 370 unit condominium complex proposed for the Merced Extension Triangle neighborhood. | Name: Merced Extension Triangle Condominium Complex | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to consider the potential impacts of the 370 unit condominium complex proposed for the Merced Extension Triangle neighborhood.,Hearing
000033,"File: 000033 | Title: Hearing to consider the Comprehensive Annual Financial Report for the City and County of San Francisco as issued by the City's independent auditors for the fiscal year ending June 30, 1999. | Name: Comprehensive Annual Financial Report for Fiscal Year Ending June 30, 1999 | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Audit and Government Efficiency Committee","Hearing to consider the Comprehensive Annual Financial Report for the City and County of San Francisco as issued by the City's independent auditors for the fiscal year ending June 30, 1999.",Hearing
000034,"File: 000034 | Title: Hearing to consider proposals to reduce the number of ""general public seats"" on the Sunshine Ordinance Task Force from six to four seats. | Name: Sunshine Ordinance Task Force Membership Reduction | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Rules Committee","Hearing to consider proposals to reduce the number of ""general public seats"" on the Sunshine Ordinance Task Force from six to four seats.",Hearing
000035,File: 000035 | Title: Hearing to consider the growing number of emergency room admissions for soft tissue infections at San Francisco General Hospital. | Name: Emergency Room Admissions | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to consider the growing number of emergency room admissions for soft tissue infections at San Francisco General Hospital.,Hearing
000036,File: 000036 | Title: Hearing to consider the 1999 homeless death causes. | Name: Homeless Death Report for 1999 | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to consider the 1999 homeless death causes.,Hearing
000037,File: 000037 | Title: Hearing to consider the Single Room Occupancy Memorandum of Understanding and Master Lease Hotel Programs. | Name: Single Room Occupancy Memorandum of Understanding and Master Lease Hotel Programs | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to consider the Single Room Occupancy Memorandum of Understanding and Master Lease Hotel Programs.,Hearing
000038,"File: 000038 | Title: Resolution urging the Judicial Council to increase the fines for those ""Blocking the Box"" impeding traffic. | Name: Blocking the Box | Type: Resolution | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors","Resolution urging the Judicial Council to increase the fines for those ""Blocking the Box"" impeding traffic.",Resolution
000039,"File: 000039 | Title: Motion adopting a proposed schedule of audits to be conducted of programs of City and County departments. | Name: Audit Priorities: Controller Audit of Adult Probation, Department of Building Inspection, City Attorney, Public Defender, Real Estate Department; Budget Analyst audit: Fire Department, Recreation and Park Department, Department of Human Services | Type: Motion | Status: Passed | Introduced: 2000-01-04 | Body: Board of Supervisors",Motion adopting a proposed schedule of audits to be conducted of programs of City and County departments.,Motion
000040,"File: 000040 | Title: Hearing to consider the financial condition of the San Francisco Unified School District, including a district staff overview of estimated local, state and federal revenues and anticipated expenditures. | Name: Financial Condition of the San Francisco Unified School District | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board","Hearing to consider the financial condition of the San Francisco Unified School District, including a district staff overview of estimated local, state and federal revenues and anticipated expenditures.",Hearing
000041,File: 000041 | Title: Hearing to consider the San Francisco Unified School District's student admission policy and to receive information from the school district about proposed or potential changes to this policy. | Name: San Francisco Unified School District's Student Admission Policy | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to consider the San Francisco Unified School District's student admission policy and to receive information from the school district about proposed or potential changes to this policy.,Hearing
000042,"File: 000042 | Title: Hearing to discuss the coordination between the San Francisco Unified School District and the Recreation and Park Department on the issue of shared use of each entity's recreational space, including a report on the progress that has been made over the past three years in terms of jointly utilizing space. | Name: Recreation and Park Department/San Francisco Unified School District Joint Use of Recreational Facilities | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board","Hearing to discuss the coordination between the San Francisco Unified School District and the Recreation and Park Department on the issue of shared use of each entity's recreational space, including a report on the progress that has been made over the past three years in terms of jointly utilizing space.",Hearing
000043,"File: 000043 | Title: Ordinance amending Health Code by amending Section 128, to fix patient rates for services furnished by Department of Public Health, retroactively to December 1, 1999. | Name: Revised  patient rates for home health services provided by Department of Public Health for fiscal year 1999-2000 | Type: Ordinance | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Ordinance amending Health Code by amending Section 128, to fix patient rates for services furnished by Department of Public Health, retroactively to December 1, 1999.",Ordinance
000044,"File: 000044 | Title: Motion that the Board of Supervisors convene in closed session with the City Attorney for the purpose of conferring with, or receiving advice from, the City Attorney regarding the following existing litigation in which the City, as a plaintiff, is attempting, in sum, to have major manufacturers and distributors of handguns, and their trade associations, determined to be knowingly and recklessly marketing and selling a dangerous product, thereby creating a public nuisance: People of the State of California, by and through San Francisco City Attorney Louise H. Renne, et al. v. Arcadia Machine & Tool, Inc., et al.  This closed session would be permitted by Government Code Section 54956.9(a). | Name: Existing Litigation | Type: Report | Status: Filed | Introduced: 2000-01-04 | Body: Board of Supervisors","Motion that the Board of Supervisors convene in closed session with the City Attorney for the purpose of conferring with, or receiving advice from, the City Attorney regarding the following existing litigation in which the City, as a plaintiff, is attempting, in sum, to have major manufacturers and distributors of handguns, and their trade associations, determined to be knowingly and recklessly marketing and selling a dangerous product, thereby creating a public nuisance: People of the State of California, by and through San Francisco City Attorney Louise H. Renne, et al. v. Arcadia Machine & Tool, Inc., et al.  This closed session would be permitted by Government Code Section 54956.9(a).",Report
000045,"File: 000045 | Title: Resolution approving a Paratransit Broker Agreement with Comsis Mobility Services, Inc., dba Intelitran for an amount not to exceed $66,333,277 for a term of five years. | Name: Authorizing the PTC General Manager to execute an agreement with Intelitran as a new  paratransit broker to perform many important functions and to act as the principal customer service representative for paratransit services on behalf of PTC | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution approving a Paratransit Broker Agreement with Comsis Mobility Services, Inc., dba Intelitran for an amount not to exceed $66,333,277 for a term of five years.",Resolution
000046,"File: 000046 | Title: Petitions and Communications received from December 29 through noon on January 5, for reference by the President to the Committee considering related matters or to be ordered filed by the Clerk on January 10, 2000. | Name: Petitions and Communications | Type: Communication | Status: Filed | Introduced: 2000-01-10 | Body: Board of Supervisors","Petitions and Communications received from December 29 through noon on January 5, for reference by the President to the Committee considering related matters or to be ordered filed by the Clerk on January 10, 2000.",Communication
000047,"File: 000047 | Title: Resolution authorizing the execution and delivery of revenue bonds by the California Statewide Communities Development authority in an aggregate principal amount not to exceed $8,000,000 for Drew College Preparatory School. | Name: Revenue Bonds Public Hearing Approval for Drew College Preparatory School | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing the execution and delivery of revenue bonds by the California Statewide Communities Development authority in an aggregate principal amount not to exceed $8,000,000 for Drew College Preparatory School.",Resolution
000048,"File: 000048 | Title: Resolution urging the California State Legislature and Governor Davis to approve Assembly Bill 1607 regarding handgun licensing and registration. | Name: State Legislation, AB 1607, Handgun Licensing and Registration | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors",Resolution urging the California State Legislature and Governor Davis to approve Assembly Bill 1607 regarding handgun licensing and registration.,Resolution
000049,"File: 000049 | Title: Resolution urging Senator Barbara Boxer, Senator Dianne Feinstein and Representative Nancy Pelosi to work with the U.S. Food and Drug Administration and Congress to create new blood donor guidelines that allow HIV-negative gay men to donate blood and help alleviate the nation's chronic blood shortage. | Name: U.S. Food and Drug Administration and Congress to create new blood donor guidelines | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution urging Senator Barbara Boxer, Senator Dianne Feinstein and Representative Nancy Pelosi to work with the U.S. Food and Drug Administration and Congress to create new blood donor guidelines that allow HIV-negative gay men to donate blood and help alleviate the nation's chronic blood shortage.",Resolution
000050,File: 000050 | Title: Resolution urging the Mayor's Office on Homelessness and the Department of Human Services to create a system for tracking criminal misconduct in the City's shelter system. | Name: Tracking criminal misconduct in the City's shelters | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors,Resolution urging the Mayor's Office on Homelessness and the Department of Human Services to create a system for tracking criminal misconduct in the City's shelter system.,Resolution
000051,"File: 000051 | Title: Resolution authorizing the Department of Administrative Services to enter into an agreement with the State of California and to accept $114,447 from the State of California to implement a plan to achieve a complete and accurate count for the Census 2000. | Name: Contract to complete an accurate count for the Census 2000 | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing the Department of Administrative Services to enter into an agreement with the State of California and to accept $114,447 from the State of California to implement a plan to achieve a complete and accurate count for the Census 2000.",Resolution
000052,File: 000052 | Title: Resolution commending Richard A. Sullivan upon his retirement as Tax Collector and for his outstanding contribution and dedicated service to the City and County of San Francisco. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors,Resolution commending Richard A. Sullivan upon his retirement as Tax Collector and for his outstanding contribution and dedicated service to the City and County of San Francisco.,Resolution
000053,"File: 000053 | Title: Resolution commending and congratulating the Pittman & Davis Company of Harlingen, Texas, for its conscientious effort to spare the environment by using 100% recycled paper as its packaging material. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution commending and congratulating the Pittman & Davis Company of Harlingen, Texas, for its conscientious effort to spare the environment by using 100% recycled paper as its packaging material.",Resolution
000054,"File: 000054 | Title: Resolution congratulating Glide Memorial United Methodist Church, San Francisco City College, Manpower, Inc. and Mission College for launching Glidetech. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution congratulating Glide Memorial United Methodist Church, San Francisco City College, Manpower, Inc. and Mission College for launching Glidetech.",Resolution
000055,File: 000055 | Title: Resolution commending Department of Parking and Traffic Senior Parking Control Officer Ella Mueller. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors,Resolution commending Department of Parking and Traffic Senior Parking Control Officer Ella Mueller.,Resolution
000056,File: 000056 | Title: Resolution commending the Holocaust Center of Northern California upon its 20th Anniversary. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors,Resolution commending the Holocaust Center of Northern California upon its 20th Anniversary.,Resolution
000057,File: 000057 | Title: Hearing to consider the possibility of setting up District Supervisors offices at different school sites. | Name: District Supervisors offices at different school sites | Type: Hearing | Status: Filed | Introduced: 2000-01-10 | Body: Clerk of the Board,Hearing to consider the possibility of setting up District Supervisors offices at different school sites.,Hearing
000058,"File: 000058 | Title: Hearing to consider the conditional use authorization and building permits for antennae placed on Sutro Tower, the Zoning Administrator's December ruling regarding conditional use authorization for such antennae, the revocation of the Zoning Administrator's ruling, potential appeals of the revocation and related matters. | Name: Conditional use authorization and building permits for antennae placed on Sutro Tower | Type: Hearing | Status: Filed | Introduced: 2000-01-10 | Body: Clerk of the Board","Hearing to consider the conditional use authorization and building permits for antennae placed on Sutro Tower, the Zoning Administrator's December ruling regarding conditional use authorization for such antennae, the revocation of the Zoning Administrator's ruling, potential appeals of the revocation and related matters.",Hearing
000059,"File: 000059 | Title: Hearing to follow Resolution No. 336-99, alternatives to institutional care for Seniors/people with disabilities, to consider progress made by City Departments in developing supportive housing alternatives to institutional care. | Name: Alternatives to institutional care for Seniors/people with disabilities progress report | Type: Hearing | Status: Filed | Introduced: 2000-01-10 | Body: Clerk of the Board","Hearing to follow Resolution No. 336-99, alternatives to institutional care for Seniors/people with disabilities, to consider progress made by City Departments in developing supportive housing alternatives to institutional care.",Hearing
